Date,Open,High,Low,Close,Adj Close,Volume
2000-11-29,2.875000,2.885417,2.802083,2.812500,0.618219,102000
2000-11-30,2.802083,2.812500,2.770833,2.770833,0.609061,170800
2000-12-01,2.781250,2.833333,2.781250,2.802083,0.615930,149200
2000-12-04,2.802083,2.822917,2.781250,2.812500,0.618219,120400
2000-12-05,2.781250,2.833333,2.781250,2.812500,0.618219,168400
2000-12-06,2.802083,2.812500,2.791667,2.812500,0.618219,72000
2000-12-07,2.822917,2.833333,2.812500,2.822917,0.620509,159600
2000-12-08,2.822917,2.822917,2.812500,2.822917,0.620509,66000
2000-12-11,2.812500,2.812500,2.770833,2.802083,0.615930,173200
2000-12-12,2.791667,2.833333,2.791667,2.802083,0.615930,242400
2000-12-13,2.770833,2.791667,2.760417,2.781250,0.611350,212800
2000-12-14,2.770833,2.770833,2.708333,2.718750,0.597612,110800
2000-12-15,2.687500,2.729167,2.687500,2.708333,0.595322,229600
2000-12-18,2.718750,2.718750,2.614583,2.625000,0.577005,169600
2000-12-19,2.635417,2.697917,2.635417,2.687500,0.590743,462400
2000-12-20,2.677083,2.677083,2.645833,2.666667,0.586164,250000
2000-12-21,2.666667,2.666667,2.645833,2.645833,0.581584,163600
2000-12-22,2.635417,2.666667,2.635417,2.666667,0.586164,109600
2000-12-26,2.666667,2.802083,2.666667,2.760417,0.606771,132400
2000-12-27,2.802083,2.843750,2.770833,2.833333,0.622799,304800
2000-12-28,2.833333,2.864583,2.812500,2.864583,0.629668,301600
2000-12-29,2.843750,2.843750,2.781250,2.843750,0.625089,268000
2001-01-02,2.854167,2.864583,2.802083,2.812500,0.618219,117600
2001-01-03,2.802083,2.916667,2.802083,2.916667,0.641116,214800
2001-01-04,2.916667,2.927083,2.833333,2.927083,0.643406,213600
2001-01-05,2.916667,2.916667,2.802083,2.822917,0.620509,154000
2001-01-08,2.833333,2.833333,2.791667,2.791667,0.613640,43600
2001-01-09,2.802083,2.854167,2.791667,2.833333,0.622799,193200
2001-01-10,2.843750,2.843750,2.802083,2.833333,0.622799,229200
2001-01-11,2.843750,2.843750,2.812500,2.833333,0.622799,138400
2001-01-12,2.833333,2.833333,2.781250,2.781250,0.611350,128400
2001-01-16,2.770833,2.802083,2.770833,2.802083,0.615930,93600
2001-01-17,2.802083,2.802083,2.770833,2.770833,0.609061,88000
2001-01-18,2.750000,2.770833,2.750000,2.770833,0.609061,114400
2001-01-19,2.770833,2.770833,2.697917,2.718750,0.597612,148000
2001-01-22,2.718750,2.750000,2.697917,2.697917,0.593033,136000
2001-01-23,2.708333,2.708333,2.656250,2.666667,0.586164,267600
2001-01-24,2.656250,2.708333,2.645833,2.697917,0.593033,1581600
2001-01-25,2.718750,2.739583,2.687500,2.687500,0.590743,294000
2001-01-26,2.687500,2.729167,2.666667,2.718750,0.597612,232800
2001-01-29,2.715000,2.771667,2.715000,2.741667,0.632912,321600
2001-01-30,2.746667,2.786667,2.746667,2.775000,0.640608,121200
2001-01-31,2.775000,2.833333,2.766667,2.816667,0.650227,211600
2001-02-01,2.808333,2.866667,2.766667,2.866667,0.661769,316000
2001-02-02,2.866667,2.950000,2.866667,2.940000,0.678698,128400
2001-02-05,2.966667,3.016667,2.966667,2.988333,0.689856,241200
2001-02-06,2.988333,3.018333,2.988333,3.008333,0.694473,54000
2001-02-07,3.025000,3.100000,3.025000,3.096667,0.714864,75600
2001-02-08,3.100000,3.116667,3.051667,3.061667,0.706785,274000
2001-02-09,3.061667,3.061667,2.973333,2.983333,0.688702,208000
2001-02-12,2.950000,3.000000,2.883333,2.998333,0.692164,248800
2001-02-13,2.975000,2.998333,2.975000,2.983333,0.688702,139600
2001-02-14,2.983333,2.983333,2.958333,2.973333,0.686393,64000
2001-02-15,2.975000,3.000000,2.965000,3.000000,0.692549,372400
2001-02-16,2.983333,2.983333,2.900000,2.941667,0.679083,118800
2001-02-20,2.908333,3.000000,2.908333,3.000000,0.692549,202800
2001-02-21,2.993333,3.108333,2.993333,3.055000,0.705246,212400
2001-02-22,3.055000,3.083333,3.025000,3.033333,0.700244,215200
2001-02-23,3.050000,3.080000,3.041667,3.066667,0.707939,219600
2001-02-26,3.058333,3.166667,3.058333,3.090000,0.713325,196000
2001-02-27,3.091667,3.150000,3.083333,3.133333,0.723329,356400
2001-02-28,3.135000,3.135000,3.080000,3.086667,0.712556,97200
2001-03-01,3.083333,3.116667,3.083333,3.090000,0.713325,64000
2001-03-02,3.091667,3.283333,3.091667,3.283333,0.757956,165600
2001-03-05,3.275000,3.290000,3.258333,3.258333,0.752185,106000
2001-03-06,3.266667,3.283333,3.233333,3.233333,0.746414,94000
2001-03-07,3.233333,3.313333,3.233333,3.311667,0.764497,216400
2001-03-08,3.313333,3.315000,3.291667,3.300000,0.761804,132000
2001-03-09,3.266667,3.333333,3.266667,3.333333,0.769498,143200
2001-03-12,3.316667,3.350000,3.303333,3.316667,0.765651,128800
2001-03-13,3.316667,3.316667,3.258333,3.308333,0.763728,90000
2001-03-14,3.300000,3.310000,3.233333,3.241667,0.748337,58000
2001-03-15,3.233333,3.233333,3.183333,3.216667,0.742566,98400
2001-03-16,3.241667,3.241667,3.141667,3.141667,0.725253,169600
2001-03-19,3.141667,3.186667,3.141667,3.186667,0.735641,46000
2001-03-20,3.186667,3.225000,3.166667,3.208333,0.740642,91600
2001-03-21,3.191667,3.191667,3.150000,3.150000,0.727177,50800
2001-03-22,3.133333,3.133333,2.975000,3.066667,0.707939,136800
2001-03-23,3.058333,3.191667,3.058333,3.171667,0.732178,90000
2001-03-26,3.188333,3.283333,3.188333,3.283333,0.757956,83200
2001-03-27,3.266667,3.268333,3.166667,3.168333,0.731409,174000
2001-03-28,3.158333,3.166667,3.023333,3.023333,0.697935,374400
2001-03-29,3.041667,3.058333,2.966667,2.966667,0.684854,190000
2001-03-30,2.983333,3.258333,2.983333,3.255000,0.751415,370000
